node_id,prr,latency(ms)
0,0.886327,0.471935
1,0.913935,0.691179
2,0.862116,0.489606
3,0.919608,0.45379
4,1,0.462168
5,0.968764,0.507055
6,1,0.460668
7,1,0.477151
8,1,0.466691
9,0.870463,0.496746
node_id,prr,latency(ms)
0,0.886327,0.471935
1,0.913935,0.691179
2,0.862116,0.489606
3,0.919608,0.45379
4,1,0.462168
5,0.968764,0.507055
6,1,0.460668
7,1,0.477151
8,1,0.466691
9,0.870463,0.496746
node_id,prr,latency(ms)
0,0.578482,0.47845
1,0.59368,0.538644
2,0.529314,0.496626
3,0.566637,0.44763
4,0.502714,0.463301
5,0.690165,0.505517
6,0.442053,0.48468
7,0.652478,0.474401
8,0.422263,0.474363
9,0.286365,0.488122
node_id,prr,latency(ms)
0,0.886327,0.471935
1,0.913935,0.691179
2,0.862116,0.489606
3,0.919608,0.45379
4,1,0.462168
5,0.968764,0.507055
6,1,0.460668
7,1,0.477151
8,1,0.466691
9,0.870463,0.496746
node_id,prr,latency(ms)
0,0.886327,0.471935
1,0.913935,0.691179
2,0.862116,0.489606
3,0.919608,0.45379
4,1,0.462168
5,0.968764,0.507055
6,1,0.460668
7,1,0.477151
8,1,0.466691
9,0.870463,0.496746
